input,cost_algo2,output_algo2,runtime_algo2
"[1, 2, 3]",1,"['[(1, 2), (1, 3), (2, 3)]']",5.241e-05
"[1, 3, 2]",1,"['[(1, 2), (1, 3), (3, 2)]']",2.597e-05
"[2, 1, 3]",1,"['[(1, 3), (2, 1), (2, 3)]']",2.376e-05
"[2, 3, 1]",1,"['[(2, 1), (2, 3), (3, 1)]']",1.98e-05
"[3, 1, 2]",1,"['[(1, 2), (3, 1), (3, 2)]']",2.079e-05
"[3, 2, 1]",1,"['[(2, 1), (3, 1), (3, 2)]']",2.075e-05
"[1, 2, 3]-[1, 3, 2]",2,"['[(1, 2), (1, 3)]', '[(1, 2), (1, 3), (3, 2)]']",5.579e-05
"[1, 2, 3]-[2, 1, 3]",2,"['[(1, 3), (2, 3)]', '[(1, 3), (2, 1), (2, 3)]']",5.618e-05
"[1, 2, 3]-[2, 3, 1]",2,"['[(1, 2), (1, 3), (2, 3)]', '[(2, 1), (2, 3), (3, 1)]']",3.87e-05
"[1, 2, 3]-[3, 1, 2]",2,"['[(1, 2), (1, 3), (2, 3)]', '[(1, 2), (3, 1), (3, 2)]']",3.738e-05
"[1, 2, 3]-[3, 2, 1]",2,"['[(1, 2), (1, 3), (2, 3)]', '[(2, 1), (3, 1), (3, 2)]']",2.936e-05
"[1, 3, 2]-[2, 1, 3]",2,"['[(1, 2), (1, 3), (3, 2)]', '[(1, 3), (2, 1), (2, 3)]']",2.603e-05
"[1, 3, 2]-[2, 3, 1]",2,"['[(1, 2), (1, 3), (3, 2)]', '[(2, 1), (2, 3), (3, 1)]']",2.139e-05
"[1, 3, 2]-[3, 1, 2]",2,"['[(1, 2), (3, 2)]', '[(1, 2), (3, 1), (3, 2)]']",2.843e-05
"[1, 3, 2]-[3, 2, 1]",2,"['[(1, 2), (1, 3), (3, 2)]', '[(2, 1), (3, 1), (3, 2)]']",1.965e-05
"[2, 1, 3]-[2, 3, 1]",2,"['[(2, 1), (2, 3)]', '[(2, 1), (2, 3), (3, 1)]']",2.73e-05
"[2, 1, 3]-[3, 1, 2]",2,"['[(1, 3), (2, 1), (2, 3)]', '[(1, 2), (3, 1), (3, 2)]']",2.227e-05
"[2, 1, 3]-[3, 2, 1]",2,"['[(1, 3), (2, 1), (2, 3)]', '[(2, 1), (3, 1), (3, 2)]']",1.939e-05
"[2, 3, 1]-[3, 1, 2]",2,"['[(2, 1), (2, 3), (3, 1)]', '[(1, 2), (3, 1), (3, 2)]']",1.959e-05
"[2, 3, 1]-[3, 2, 1]",2,"['[(2, 1), (3, 1)]', '[(2, 1), (3, 1), (3, 2)]']",2.837e-05
"[3, 1, 2]-[3, 2, 1]",2,"['[(3, 1), (3, 2)]', '[(2, 1), (3, 1), (3, 2)]']",2.701e-05
"[1, 2, 3]-[1, 3, 2]-[2, 1, 3]",4,"['[(1, 2), (1, 3)]', '[(1, 3), (2, 3)]', '[(1, 2), (1, 3), (3, 2)]', '[(1, 3), (2, 1), (2, 3)]']",5.175e-05
"[1, 2, 3]-[1, 3, 2]-[2, 3, 1]",3,"['[(1, 2), (1, 3)]', '[(1, 2), (1, 3), (3, 2)]', '[(2, 1), (2, 3), (3, 1)]']",4.403e-05
"[1, 2, 3]-[1, 3, 2]-[3, 1, 2]",3,"['[(1, 2), (1, 3)]', '[(1, 2), (3, 2)]', '[(1, 2), (3, 1), (3, 2)]']",4.492e-05
"[1, 2, 3]-[1, 3, 2]-[3, 2, 1]",3,"['[(1, 2), (1, 3)]', '[(1, 2), (1, 3), (3, 2)]', '[(2, 1), (3, 1), (3, 2)]']",4.304e-05
"[1, 2, 3]-[2, 1, 3]-[2, 3, 1]",3,"['[(1, 3), (2, 3)]', '[(2, 1), (2, 3)]', '[(2, 1), (2, 3), (3, 1)]']",4.521e-05
"[1, 2, 3]-[2, 1, 3]-[3, 1, 2]",3,"['[(1, 3), (2, 3)]', '[(1, 3), (2, 1), (2, 3)]', '[(1, 2), (3, 1), (3, 2)]']",4.309e-05
"[1, 2, 3]-[2, 1, 3]-[3, 2, 1]",3,"['[(1, 3), (2, 3)]', '[(1, 3), (2, 1), (2, 3)]', '[(2, 1), (3, 1), (3, 2)]']",4.313e-05
"[1, 2, 3]-[2, 3, 1]-[3, 1, 2]",3,"['[(1, 2), (1, 3), (2, 3)]', '[(2, 1), (2, 3), (3, 1)]', '[(1, 2), (3, 1), (3, 2)]']",3.052e-05
"[1, 2, 3]-[2, 3, 1]-[3, 2, 1]",3,"['[(1, 2), (1, 3), (2, 3)]', '[(2, 1), (3, 1)]', '[(2, 1), (3, 1), (3, 2)]']",4.972e-05
"[1, 2, 3]-[3, 1, 2]-[3, 2, 1]",3,"['[(1, 2), (1, 3), (2, 3)]', '[(3, 1), (3, 2)]', '[(2, 1), (3, 1), (3, 2)]']",4.514e-05
"[1, 3, 2]-[2, 1, 3]-[2, 3, 1]",3,"['[(1, 2), (1, 3), (3, 2)]', '[(2, 1), (2, 3)]', '[(2, 1), (2, 3), (3, 1)]']",4.339e-05
"[1, 3, 2]-[2, 1, 3]-[3, 1, 2]",3,"['[(1, 2), (3, 2)]', '[(1, 3), (2, 1), (2, 3)]', '[(1, 2), (3, 1), (3, 2)]']",4.382e-05
"[1, 3, 2]-[2, 1, 3]-[3, 2, 1]",3,"['[(1, 2), (1, 3), (3, 2)]', '[(1, 3), (2, 1), (2, 3)]', '[(2, 1), (3, 1), (3, 2)]']",3.071e-05
"[1, 3, 2]-[2, 3, 1]-[3, 1, 2]",3,"['[(1, 2), (3, 2)]', '[(2, 1), (2, 3), (3, 1)]', '[(1, 2), (3, 1), (3, 2)]']",4.302e-05
"[1, 3, 2]-[2, 3, 1]-[3, 2, 1]",3,"['[(1, 2), (1, 3), (3, 2)]', '[(2, 1), (3, 1)]', '[(2, 1), (3, 1), (3, 2)]']",4.303e-05
"[1, 3, 2]-[3, 1, 2]-[3, 2, 1]",3,"['[(1, 2), (3, 2)]', '[(3, 1), (3, 2)]', '[(2, 1), (3, 1), (3, 2)]']",4.513e-05
"[2, 1, 3]-[2, 3, 1]-[3, 1, 2]",3,"['[(2, 1), (2, 3)]', '[(2, 1), (2, 3), (3, 1)]', '[(1, 2), (3, 1), (3, 2)]']",4.336e-05
"[2, 1, 3]-[2, 3, 1]-[3, 2, 1]",3,"['[(2, 1), (2, 3)]', '[(2, 1), (3, 1)]', '[(2, 1), (3, 1), (3, 2)]']",5.13e-05
"[2, 1, 3]-[3, 1, 2]-[3, 2, 1]",3,"['[(1, 3), (2, 1), (2, 3)]', '[(3, 1), (3, 2)]', '[(2, 1), (3, 1), (3, 2)]']",4.312e-05
"[2, 3, 1]-[3, 1, 2]-[3, 2, 1]",3,"['[(2, 1), (3, 1)]', '[(3, 1), (3, 2)]', '[(2, 1), (3, 1), (3, 2)]']",4.788e-05
"[1, 2, 3]-[1, 3, 2]-[2, 1, 3]-[2, 3, 1]",5,"['[(1, 2), (1, 3)]', '[(1, 3), (2, 3)]', '[(1, 2), (1, 3), (3, 2)]', '[(2, 1), (2, 3)]', '[(2, 1), (2, 3), (3, 1)]']",7.786e-05
"[1, 2, 3]-[1, 3, 2]-[2, 1, 3]-[3, 1, 2]",5,"['[(1, 2), (1, 3)]', '[(1, 3), (2, 3)]', '[(1, 2), (3, 2)]', '[(1, 3), (2, 1), (2, 3)]', '[(1, 2), (3, 1), (3, 2)]']",7.475e-05
"[1, 2, 3]-[1, 3, 2]-[2, 1, 3]-[3, 2, 1]",5,"['[(1, 2), (1, 3)]', '[(1, 3), (2, 3)]', '[(1, 2), (1, 3), (3, 2)]', '[(1, 3), (2, 1), (2, 3)]', '[(2, 1), (3, 1), (3, 2)]']",7.154e-05
"[1, 2, 3]-[1, 3, 2]-[2, 3, 1]-[3, 1, 2]",4,"['[(1, 2), (1, 3)]', '[(1, 2), (3, 2)]', '[(2, 1), (2, 3), (3, 1)]', '[(1, 2), (3, 1), (3, 2)]']",6.428e-05
"[1, 2, 3]-[1, 3, 2]-[2, 3, 1]-[3, 2, 1]",4,"['[(1, 2), (1, 3)]', '[(1, 2), (1, 3), (3, 2)]', '[(2, 1), (3, 1)]', '[(2, 1), (3, 1), (3, 2)]']",6.346e-05
"[1, 2, 3]-[1, 3, 2]-[3, 1, 2]-[3, 2, 1]",4,"['[(1, 2), (1, 3)]', '[(1, 2), (3, 2)]', '[(3, 1), (3, 2)]', '[(2, 1), (3, 1), (3, 2)]']",6.613e-05
"[1, 2, 3]-[2, 1, 3]-[2, 3, 1]-[3, 1, 2]",4,"['[(1, 3), (2, 3)]', '[(2, 1), (2, 3)]', '[(2, 1), (2, 3), (3, 1)]', '[(1, 2), (3, 1), (3, 2)]']",6.389e-05
"[1, 2, 3]-[2, 1, 3]-[2, 3, 1]-[3, 2, 1]",4,"['[(1, 3), (2, 3)]', '[(2, 1), (2, 3)]', '[(2, 1), (3, 1)]', '[(2, 1), (3, 1), (3, 2)]']",6.637e-05
"[1, 2, 3]-[2, 1, 3]-[3, 1, 2]-[3, 2, 1]",4,"['[(1, 3), (2, 3)]', '[(1, 3), (2, 1), (2, 3)]', '[(3, 1), (3, 2)]', '[(2, 1), (3, 1), (3, 2)]']",6.324e-05
"[1, 2, 3]-[2, 3, 1]-[3, 1, 2]-[3, 2, 1]",4,"['[(1, 2), (1, 3), (2, 3)]', '[(2, 1), (3, 1)]', '[(3, 1), (3, 2)]', '[(2, 1), (3, 1), (3, 2)]']",6.334e-05
"[1, 3, 2]-[2, 1, 3]-[2, 3, 1]-[3, 1, 2]",4,"['[(1, 2), (3, 2)]', '[(2, 1), (2, 3)]', '[(2, 1), (2, 3), (3, 1)]', '[(1, 2), (3, 1), (3, 2)]']",7.165e-05
"[1, 3, 2]-[2, 1, 3]-[2, 3, 1]-[3, 2, 1]",4,"['[(1, 2), (1, 3), (3, 2)]', '[(2, 1), (2, 3)]', '[(2, 1), (3, 1)]', '[(2, 1), (3, 1), (3, 2)]']",0.00010921
"[1, 3, 2]-[2, 1, 3]-[3, 1, 2]-[3, 2, 1]",4,"['[(1, 2), (3, 2)]', '[(1, 3), (2, 1), (2, 3)]', '[(3, 1), (3, 2)]', '[(2, 1), (3, 1), (3, 2)]']",0.00012289
"[1, 3, 2]-[2, 3, 1]-[3, 1, 2]-[3, 2, 1]",4,"['[(1, 2), (3, 2)]', '[(2, 1), (3, 1)]', '[(3, 1), (3, 2)]', '[(2, 1), (3, 1), (3, 2)]']",0.00011147
"[2, 1, 3]-[2, 3, 1]-[3, 1, 2]-[3, 2, 1]",4,"['[(2, 1), (2, 3)]', '[(2, 1), (3, 1)]', '[(3, 1), (3, 2)]', '[(2, 1), (3, 1), (3, 2)]']",0.00010957
"[1, 2, 3]-[1, 3, 2]-[2, 1, 3]-[2, 3, 1]-[3, 1, 2]",6,"['[(1, 2), (1, 3)]', '[(1, 3), (2, 3)]', '[(1, 2), (3, 2)]', '[(2, 1), (2, 3)]', '[(2, 1), (2, 3), (3, 1)]', '[(1, 2), (3, 1), (3, 2)]']",0.00010118
