input,cost_algo2i,output_algo2i,runtime_algo2i
"[1, 2, 3, 4]",1,"['[(1, 2), (1, 3), (1, 4), (2, 3), (2, 4), (3, 4)]']",0.00010765
"[1, 2, 4, 3]",1,"['[(1, 2), (1, 3), (1, 4), (2, 3), (2, 4), (4, 3)]']",3.678e-05
"[1, 3, 2, 4]",1,"['[(1, 2), (1, 3), (1, 4), (2, 4), (3, 2), (3, 4)]']",3.118e-05
"[1, 3, 4, 2]",1,"['[(1, 2), (1, 3), (1, 4), (3, 2), (3, 4), (4, 2)]']",3.024e-05
"[1, 4, 2, 3]",1,"['[(1, 2), (1, 3), (1, 4), (2, 3), (4, 2), (4, 3)]']",2.892e-05
"[1, 4, 3, 2]",1,"['[(1, 2), (1, 3), (1, 4), (3, 2), (4, 2), (4, 3)]']",3.25e-05
"[2, 1, 3, 4]",1,"['[(1, 3), (1, 4), (2, 1), (2, 3), (2, 4), (3, 4)]']",2.918e-05
"[2, 1, 4, 3]",1,"['[(1, 3), (1, 4), (2, 1), (2, 3), (2, 4), (4, 3)]']",2.849e-05
"[2, 3, 1, 4]",1,"['[(1, 4), (2, 1), (2, 3), (2, 4), (3, 1), (3, 4)]']",2.814e-05
"[2, 3, 4, 1]",1,"['[(2, 1), (2, 3), (2, 4), (3, 1), (3, 4), (4, 1)]']",2.873e-05
"[2, 4, 1, 3]",1,"['[(1, 3), (2, 1), (2, 3), (2, 4), (4, 1), (4, 3)]']",2.89e-05
"[2, 4, 3, 1]",1,"['[(2, 1), (2, 3), (2, 4), (3, 1), (4, 1), (4, 3)]']",2.766e-05
"[3, 1, 2, 4]",1,"['[(1, 2), (1, 4), (2, 4), (3, 1), (3, 2), (3, 4)]']",2.814e-05
"[3, 1, 4, 2]",1,"['[(1, 2), (1, 4), (3, 1), (3, 2), (3, 4), (4, 2)]']",2.886e-05
"[3, 2, 1, 4]",1,"['[(1, 4), (2, 1), (2, 4), (3, 1), (3, 2), (3, 4)]']",2.894e-05
"[3, 2, 4, 1]",1,"['[(2, 1), (2, 4), (3, 1), (3, 2), (3, 4), (4, 1)]']",2.845e-05
"[3, 4, 1, 2]",1,"['[(1, 2), (3, 1), (3, 2), (3, 4), (4, 1), (4, 2)]']",2.851e-05
"[3, 4, 2, 1]",1,"['[(2, 1), (3, 1), (3, 2), (3, 4), (4, 1), (4, 2)]']",2.797e-05
"[4, 1, 2, 3]",1,"['[(1, 2), (1, 3), (2, 3), (4, 1), (4, 2), (4, 3)]']",3.555e-05
"[4, 1, 3, 2]",1,"['[(1, 2), (1, 3), (3, 2), (4, 1), (4, 2), (4, 3)]']",2.86e-05
"[4, 2, 1, 3]",1,"['[(1, 3), (2, 1), (2, 3), (4, 1), (4, 2), (4, 3)]']",2.822e-05
"[4, 2, 3, 1]",1,"['[(2, 1), (2, 3), (3, 1), (4, 1), (4, 2), (4, 3)]']",2.825e-05
"[4, 3, 1, 2]",1,"['[(1, 2), (3, 1), (3, 2), (4, 1), (4, 2), (4, 3)]']",2.853e-05
"[4, 3, 2, 1]",1,"['[(2, 1), (3, 1), (3, 2), (4, 1), (4, 2), (4, 3)]']",2.749e-05
"[1, 2, 4, 3]-[3, 2, 1, 4]",2,"['[(1, 2), (1, 3), (1, 4), (2, 3), (2, 4), (4, 3)]', '[(1, 4), (2, 1), (2, 4), (3, 1), (3, 2), (3, 4)]']",6.781e-05
"[1, 2, 4, 3]-[3, 1, 2, 4]",2,"['[(1, 2), (1, 3), (1, 4), (2, 3), (2, 4), (4, 3)]', '[(1, 2), (1, 4), (2, 4), (3, 1), (3, 2), (3, 4)]']",6.279e-05
"[3, 2, 1, 4]-[4, 3, 2, 1]",2,"['[(1, 4), (2, 1), (2, 4), (3, 1), (3, 2), (3, 4)]', '[(2, 1), (3, 1), (3, 2), (4, 1), (4, 2), (4, 3)]']",6.69e-05
"[2, 4, 3, 1]-[4, 3, 2, 1]",2,"['[(2, 1), (2, 3), (2, 4), (3, 1), (4, 1), (4, 3)]', '[(2, 1), (3, 1), (3, 2), (4, 1), (4, 2), (4, 3)]']",6.273e-05
"[2, 3, 1, 4]-[3, 4, 1, 2]",2,"['[(1, 4), (2, 1), (2, 3), (2, 4), (3, 1), (3, 4)]', '[(1, 2), (3, 1), (3, 2), (3, 4), (4, 1), (4, 2)]']",6.159e-05
"[1, 3, 2, 4]-[2, 3, 4, 1]",2,"['[(1, 2), (1, 3), (1, 4), (2, 4), (3, 2), (3, 4)]', '[(2, 1), (2, 3), (2, 4), (3, 1), (3, 4), (4, 1)]']",6.401e-05
"[1, 2, 4, 3]-[2, 3, 1, 4]",2,"['[(1, 2), (1, 3), (1, 4), (2, 3), (2, 4), (4, 3)]', '[(1, 4), (2, 1), (2, 3), (2, 4), (3, 1), (3, 4)]']",6.289e-05
"[2, 4, 1, 3]-[3, 4, 2, 1]",2,"['[(1, 3), (2, 1), (2, 3), (2, 4), (4, 1), (4, 3)]', '[(2, 1), (3, 1), (3, 2), (3, 4), (4, 1), (4, 2)]']",6.223e-05
"[1, 2, 3, 4]-[4, 3, 1, 2]",2,"['[(1, 2), (1, 3), (1, 4), (2, 3), (2, 4), (3, 4)]', '[(1, 2), (3, 1), (3, 2), (4, 1), (4, 2), (4, 3)]']",6.253e-05
"[1, 3, 4, 2]-[2, 3, 4, 1]",2,"['[(1, 2), (1, 3), (1, 4), (3, 2), (3, 4), (4, 2)]', '[(2, 1), (2, 3), (2, 4), (3, 1), (3, 4), (4, 1)]']",6.393e-05
"[3, 1, 2, 4]-[4, 3, 1, 2]",2,"['[(1, 2), (1, 4), (2, 4), (3, 1), (3, 2), (3, 4)]', '[(1, 2), (3, 1), (3, 2), (4, 1), (4, 2), (4, 3)]']",6.261e-05
