input,cost_algo1,output_algo1,runtime_algo1
"[1, 2, 3]",1,"['[(1, 2), (2, 3)]']",0.000102
"[1, 3, 2]",1,"['[(1, 3), (3, 2)]']",6.59e-05
"[2, 1, 3]",1,"['[(1, 3), (2, 1)]']",3.02e-05
"[2, 3, 1]",1,"['[(2, 3), (3, 1)]']",3.4e-05
"[3, 1, 2]",1,"['[(1, 2), (3, 1)]']",3.35e-05
"[3, 2, 1]",1,"['[(2, 1), (3, 2)]']",3.48e-05
"[1, 2, 3]-[1, 3, 2]",1,"['[(1, 2), (1, 3)]']",6.74e-05
"[1, 2, 3]-[2, 1, 3]",1,"['[(1, 3), (2, 3)]']",6.43e-05
"[1, 2, 3]-[2, 3, 1]",2,"['[(1, 2), (2, 3)]', '[(2, 3), (3, 1)]']",7.03e-05
"[1, 2, 3]-[3, 1, 2]",2,"['[(1, 2), (2, 3)]', '[(1, 2), (3, 1)]']",6.86e-05
"[1, 2, 3]-[3, 2, 1]",2,"['[(1, 2), (2, 3)]', '[(2, 1), (3, 2)]']",5.03e-05
"[1, 3, 2]-[2, 1, 3]",2,"['[(1, 3), (3, 2)]', '[(1, 3), (2, 1)]']",4.77e-05
"[1, 3, 2]-[2, 3, 1]",2,"['[(1, 3), (3, 2)]', '[(2, 3), (3, 1)]']",4.2e-05
"[1, 3, 2]-[3, 1, 2]",1,"['[(1, 2), (3, 2)]']",5.61e-05
"[1, 3, 2]-[3, 2, 1]",2,"['[(1, 3), (3, 2)]', '[(2, 1), (3, 2)]']",3.7e-05
"[2, 1, 3]-[2, 3, 1]",1,"['[(2, 1), (2, 3)]']",4.86e-05
"[2, 1, 3]-[3, 1, 2]",2,"['[(1, 3), (2, 1)]', '[(1, 2), (3, 1)]']",3.56e-05
"[2, 1, 3]-[3, 2, 1]",2,"['[(1, 3), (2, 1)]', '[(2, 1), (3, 2)]']",3.43e-05
"[2, 3, 1]-[3, 1, 2]",2,"['[(2, 3), (3, 1)]', '[(1, 2), (3, 1)]']",5.85e-05
"[2, 3, 1]-[3, 2, 1]",1,"['[(2, 1), (3, 1)]']",7.56e-05
"[3, 1, 2]-[3, 2, 1]",1,"['[(3, 1), (3, 2)]']",6.32e-05
"[1, 2, 3]-[1, 3, 2]-[2, 1, 3]",2,"['[(1, 3)]', '[(1, 3), (2, 1)]']",7.5e-05
"[1, 2, 3]-[1, 3, 2]-[2, 3, 1]",2,"['[(1, 2), (1, 3)]', '[(2, 3), (3, 1)]']",9.03e-05
"[1, 2, 3]-[1, 3, 2]-[3, 1, 2]",2,"['[(1, 2)]', '[(1, 2), (3, 1)]']",8.27e-05
"[1, 2, 3]-[1, 3, 2]-[3, 2, 1]",2,"['[(1, 2), (1, 3)]', '[(2, 1), (3, 2)]']",8.93e-05
"[1, 2, 3]-[2, 1, 3]-[2, 3, 1]",2,"['[(2, 3)]', '[(2, 3), (3, 1)]']",8.99e-05
"[1, 2, 3]-[2, 1, 3]-[3, 1, 2]",2,"['[(1, 3), (2, 3)]', '[(1, 2), (3, 1)]']",9.69e-05
"[1, 2, 3]-[2, 1, 3]-[3, 2, 1]",2,"['[(1, 3), (2, 3)]', '[(2, 1), (3, 2)]']",8.71e-05
"[1, 2, 3]-[2, 3, 1]-[3, 1, 2]",3,"['[(1, 2), (2, 3)]', '[(2, 3), (3, 1)]', '[(1, 2), (3, 1)]']",5.87e-05
"[1, 2, 3]-[2, 3, 1]-[3, 2, 1]",2,"['[(1, 2), (2, 3)]', '[(2, 1), (3, 1)]']",9.26e-05
"[1, 2, 3]-[3, 1, 2]-[3, 2, 1]",2,"['[(1, 2), (2, 3)]', '[(3, 1), (3, 2)]']",6.18e-05
