input,cost_algo1,output_algo1,runtime_algo1
"[1, 2, 3]",1,"['[(1, 2), (2, 3)]']",7.175e-05
"[1, 3, 2]",1,"['[(1, 3), (3, 2)]']",3.671e-05
"[2, 1, 3]",1,"['[(1, 3), (2, 1)]']",2.044e-05
"[2, 3, 1]",1,"['[(2, 3), (3, 1)]']",1.754e-05
"[3, 1, 2]",1,"['[(1, 2), (3, 1)]']",1.735e-05
"[3, 2, 1]",1,"['[(2, 1), (3, 2)]']",1.659e-05
"[1, 2, 3]-[1, 3, 2]",1,"['[(1, 2), (1, 3)]']",5.77e-05
"[1, 2, 3]-[2, 1, 3]",1,"['[(1, 3), (2, 3)]']",4.665e-05
"[1, 2, 3]-[2, 3, 1]",2,"['[(1, 2), (2, 3)]', '[(2, 3), (3, 1)]']",3.718e-05
"[1, 2, 3]-[3, 1, 2]",2,"['[(1, 2), (2, 3)]', '[(1, 2), (3, 1)]']",3.53e-05
"[1, 2, 3]-[3, 2, 1]",2,"['[(1, 2), (2, 3)]', '[(2, 1), (3, 2)]']",3.422e-05
"[1, 3, 2]-[2, 1, 3]",2,"['[(1, 3), (3, 2)]', '[(1, 3), (2, 1)]']",3.392e-05
"[1, 3, 2]-[2, 3, 1]",2,"['[(1, 3), (3, 2)]', '[(2, 3), (3, 1)]']",3.369e-05
"[1, 3, 2]-[3, 1, 2]",1,"['[(1, 2), (3, 2)]']",4.34e-05
"[1, 3, 2]-[3, 2, 1]",2,"['[(1, 3), (3, 2)]', '[(2, 1), (3, 2)]']",3.436e-05
"[2, 1, 3]-[2, 3, 1]",1,"['[(2, 1), (2, 3)]']",4.281e-05
"[2, 1, 3]-[3, 1, 2]",2,"['[(1, 3), (2, 1)]', '[(1, 2), (3, 1)]']",3.537e-05
"[2, 1, 3]-[3, 2, 1]",2,"['[(1, 3), (2, 1)]', '[(2, 1), (3, 2)]']",3.393e-05
"[2, 3, 1]-[3, 1, 2]",2,"['[(2, 3), (3, 1)]', '[(1, 2), (3, 1)]']",4.059e-05
"[2, 3, 1]-[3, 2, 1]",1,"['[(2, 1), (3, 1)]']",4.287e-05
"[3, 1, 2]-[3, 2, 1]",1,"['[(3, 1), (3, 2)]']",4.215e-05
"[1, 2, 3]-[1, 3, 2]-[2, 1, 3]",1,"['[(1, 3)]']",7.246e-05
"[1, 2, 3]-[1, 3, 2]-[2, 3, 1]",2,"['[(1, 2), (1, 3)]', '[(2, 3), (3, 1)]']",6.847e-05
"[1, 2, 3]-[1, 3, 2]-[3, 1, 2]",1,"['[(1, 2)]']",8.147e-05
"[1, 2, 3]-[1, 3, 2]-[3, 2, 1]",2,"['[(1, 2), (1, 3)]', '[(2, 1), (3, 2)]']",6.215e-05
"[1, 2, 3]-[2, 1, 3]-[2, 3, 1]",1,"['[(2, 3)]']",8.213e-05
"[1, 2, 3]-[2, 1, 3]-[3, 1, 2]",2,"['[(1, 3), (2, 3)]', '[(1, 2), (3, 1)]']",6.233e-05
"[1, 2, 3]-[2, 1, 3]-[3, 2, 1]",2,"['[(1, 3), (2, 3)]', '[(2, 1), (3, 2)]']",6.077e-05
"[1, 2, 3]-[2, 3, 1]-[3, 1, 2]",3,"['[(1, 2), (2, 3)]', '[(2, 3), (3, 1)]', '[(1, 2), (3, 1)]']",5.975e-05
"[1, 2, 3]-[2, 3, 1]-[3, 2, 1]",2,"['[(1, 2), (2, 3)]', '[(2, 1), (3, 1)]']",7.148e-05
